,Search,Tweet,Entered on,pos_score,neu_score,neg_score,compound_score,angry_score,fear_score,happy_score,sad_score,surprise_score
0,Tropical storm Eta,floridians claims tropical storm eta hurricane sally thats ,2021-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.67
1,Tropical storm Eta,unsure property sustained damage tropical storm eta still plenty time file insuranc ,2021-01-15,0.0,0.658,0.342,-0.6369,0.0,0.33,0.0,0.33,0.33
2,Tropical storm Eta,tsr storm alert tropical storm eta n atlantic storm alert issued 13 jan 2021 9 ,2021-01-15,0.286,0.714,0.0,0.5267,0.0,0.0,0.0,1.0,0.0
3,Tropical storm Eta,shark valley closed since nov8 tropical storm eta brought significant rainfall caused ,2021-01-15,0.141,0.859,0.0,0.2023,0.0,0.2,0.4,0.4,0.0
4,Tropical storm Eta,tropical storm eta brought flooding rains western north carolina caused sinkhole post office ,2021-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5,Tropical storm Eta,tsr storm alert tropical storm eta n atlantic storm alert issued 13 jan 2021 9 ,2021-01-15,0.286,0.714,0.0,0.5267,0.0,0.0,0.0,1.0,0.0
6,Tropical storm Eta,2020 wet year record breaking rainfall drenching south florida right beginning seaso ,2021-01-15,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5
7,Tropical storm Eta,tsr storm alert tropical storm eta n atlantic storm alert issued 13 jan 2021 9 ,2021-01-15,0.286,0.714,0.0,0.5267,0.0,0.0,0.0,1.0,0.0
8,Tropical storm Eta,tsr storm alert tropical storm eta n atlantic storm alert issued 13 jan 2021 9 ,2021-01-15,0.286,0.714,0.0,0.5267,0.0,0.0,0.0,1.0,0.0
9,Tropical storm Eta,watch everything lost everything main source income source many south florida ,2021-01-15,0.0,0.813,0.187,-0.3182,0.0,0.2,0.0,0.6,0.2
10,Tropical storm Eta,looking back time rode tropical storm port charlotte ,2021-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11,Tropical storm Eta,record flooding tropical storm eta month caused severe damage south florida vegetable crops ,2021-01-15,0.0,0.655,0.345,-0.7003,0.0,0.0,0.0,1.0,0.0
12,Tropical storm Eta,following historic hurricane season fpl customers pay additionally cost respond hurricane ,2021-01-15,0.0,0.877,0.123,-0.1027,0.0,0.0,0.0,0.0,1.0
13,Tropical storm Eta,floridians claims tropical storm eta hurricane sally thats ,2021-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.67
